Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
"Kortfilmsprojektet ""Närhetsprincipen""",https://www.kickstarter.com/projects/kortfilmsprojekt/kortfilmsprojektet-narhetsprincipen?ref=discovery_ending_soon,Film & Video,Comedy,Sweden,SEK,6000.0,558.71,9,60,35,124,138,0,7,0,0
Mojave Mallows - Mouthwatering Organic Marshmallows,https://www.kickstarter.com/projects/mojavemallows/mojave-mallows-mouthwatering-organic-marshmallows?ref=discovery_ending_soon,Food,Small Batch,USA,USD,10000.0,10352.0,103,30,35,126,214,1,29,1,1
Ducky Disney Cosplay: Pin Collections,https://www.kickstarter.com/projects/kleikei/ducky-disney-cosplay-pin-collections?ref=discovery_ending_soon,Art,Illustration,Singapore,SGD,200.0,2535.0,1267,30,35,129,1075,0,51,0,1
Real EDC tool Pocket Kiridashi knife Wooden sheath Wanderer,https://www.kickstarter.com/projects/withukrainestand/real-edc-tool-pocket-kiridashi-knife-wooden-sheath-wanderer?ref=discovery_ending_soon,Design,Product Design,Poland,PLN,2000.0,13095.0,654,30,28,47,1036,0,25,0,1
Sale of interiors 2023,https://www.kickstarter.com/projects/3d-fortress/sale-of-interiors-2023?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,1000.0,2172.0,217,30,28,33,4297,0,57,1,1
YUNY: Enjoy the Irreplaceable and Instantaneous Interaction!,https://www.kickstarter.com/projects/yuny/yuny-enjoy-the-irreplaceable-and-instantaneous-interaction?ref=discovery_ending_soon,Technology,Gadgets,Canada,CAD,6708.0,38297.0,570,45,29,130,623,0,69,7,1
Hawk's Legacy & Knights of Silence MC Special Editions,https://www.kickstarter.com/projects/amycecilbooks/hawks-legacy-exclusive-special-editions?ref=discovery_ending_soon,Publishing,Fiction,USA,USD,8000.0,4117.0,51,17,29,108,484,0,35,3,0
Katamari Damacy Inspired Ita-bag,https://www.kickstarter.com/projects/syrwashere/katamari-damacy-inspired-ita-bag?ref=discovery_ending_soon,Fashion,Accessories,USA,USD,5800.0,9875.0,170,30,29,78,1022,0,22,1,1
"Spencer LaJoye's new full-length album, ""Shadow Puppets""",https://www.kickstarter.com/projects/spencerlajoye/spencer-lajoyes-new-full-length-album-shadow-puppets?ref=discovery_ending_soon,Music,Country & Folk,USA,USD,25000.0,25647.0,102,30,29,104,450,1,14,1,1
Aaron Miller's 5E Ready Reference Stat Cards,https://www.kickstarter.com/projects/aaronbmiller/aaron-millers-5e-ready-reference-stat-cards?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,2500.0,9823.0,392,29,29,135,310,0,37,1,1
Tinseltown: Losing The Light - A Period Crime Drama,https://www.kickstarter.com/projects/childrensvampire/tinseltown-losing-the-light-a-period-crime-drama?ref=discovery_ending_soon,Comics,Graphic Novels,USA,USD,8000.0,8866.0,110,30,29,105,677,0,55,2,1
Holy Guacamole,https://www.kickstarter.com/projects/cardschristianslike/holy-guacamole-0?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,12500.0,30162.0,241,30,29,31,357,0,28,1,1
RostiMax - The Portable Battery-Powered Grill Rotisserie,https://www.kickstarter.com/projects/sumaollc/rostimax-the-portable-battery-powered-grill-rotisserie?ref=discovery_ending_soon,Design,Product Design,USA,USD,25000.0,550.0,2,60,29,106,789,0,32,3,0
skate pride,https://www.kickstarter.com/projects/savingthrow/skate-pride?ref=discovery_ending_soon,Crafts,Stationery,USA,USD,200.0,299.0,149,14,38,18,62,0,15,0,1
'Here and There' An Expedition of Sorts by Jillian Edelstein,https://www.kickstarter.com/projects/gblimitededitions/here-and-there-an-expedition-of-sorts-by-jillian-edelstein?ref=discovery_ending_soon,Photography,Photobooks,UK,GBP,6000.0,6309.0,105,30,29,117,223,1,39,1,1
RPG Resources for Game Masters and Players (5e),https://www.kickstarter.com/projects/danielesaleggia/rpg-resources-for-game-masters-and-players-5e?ref=discovery_ending_soon,Games,Tabletop Games,Italy,EUR,200.0,4578.0,2289,30,29,86,312,0,24,1,1
Mythic Creature Trainer - a fun fantasy Graphic Novel,https://www.kickstarter.com/projects/pfitzy/mct?ref=discovery_ending_soon,Comics,Graphic Novels,AU,AUD,10000.0,6841.32,68,24,38,68,1014,1,38,1,0
Selby Love,https://www.kickstarter.com/projects/selbylove/selby-love?ref=discovery_ending_soon,Film & Video,Shorts,UK,GBP,9800.0,9350.0,95,35,38,98,686,1,25,2,0
"""Goodnight Sword"" - A Medieval Fantasy Bedtime Story",https://www.kickstarter.com/projects/ravenkeep/goodnight-sword-book-with-rabbit-knight-and-page-plush-toys?ref=discovery_ending_soon,Publishing,Children's Books,USA,USD,250.0,1625.0,650,16,39,86,619,0,17,1,1
Bloody Brilliant Business Book,https://www.kickstarter.com/projects/stasha/bloody-brilliant-business?ref=discovery_ending_soon,Publishing,Nonfiction,USA,USD,7000.0,12150.0,173,30,39,105,700,1,28,1,1
Cold Kutter Issue #2 with Catch up Issue #1,https://www.kickstarter.com/projects/612458545/cold-kutter-issue-2?ref=discovery_ending_soon,Comics,Comic Books,USA,USD,1000.0,1243.0,124,30,38,130,500,0,68,1,1
